AD;Andora;1.6;8;14,25,28;;1.16;;;15;8;;1;8,25,26
ARM;Armēnija;1,2,6,28;;8;24;1,9,28;;5;;21;;;31
A*;Austrija;1.6;;28;;1,5,16,26;;;15;;26;1;8,25,26
AZ*;Azerbaidžāna;1.2;;8,21-25*,27,28;27;9.3;15.27;7,8*;;13,14*;18;9,14,17;31
BY;Baltkrievija;1,7,8;;7.8;;1,9,10;;3;;;;7;25
BE;Beļģija;1;;27.28;;1,5,15,16;;21;15;;;1.11;25.26
BA;Bosnija un Hercegovina;1.2;;1;;1.2;;;;;;25;
BG*;Bulgārija;1;;3.4;29;1,2,6,23,24;;;;5,6,22,23;;1*;24,25,26
CZ;Čehija;1;;28;;1.8;;5.6;;28;28;17;24,25,26
DK;Dānija;1;;24,25,27,28;22;1,5,15,16;;;;;;;25.26
F*;Francija;1;;27*,28;;1*,5,8*,15*,16;;14;15;;;1.11;25*
GR;Grieķija;1.6;;14.25;29;1.2;20;;15;;28;;25.26
GEO*;Gruzija;1,2,7,19;;3.8;9;1,2,9,26;;;28;;14;23;
HR;Horvātija;1.6;;27.28;;1.26;22.25;;5.15;;8;1;25.26
EST;Igaunija;1;24;25.27;;1.15;23.24;;20;;;;24,25,26
I;Itālija;1.6;;27.28;25;1;2;;15;;;1;8,25,26
IRL;Īrija;1;;17,25,28;;2;6;;1;;31;;25.26
JO;Jordānija;1;;;;1.25;;5-8,;;11 - 15,;2;;11.25
KZ*;Kazahstāna;1,2,7;;21-23*;;1,7,9;;6;30;13*;;;1,16,17
CY;Kipra;1.6;;14.25;1.29;1,2,3;20;;15;;1.28;;25.26
KYZ*;Kirgizstāna;1.7;23;8,21,24;;1,5,9;;6*;31;12*;;7;
RUS;Krievija;1-10,;21-23,;5-8,;30;1-3,7-9;11-13,;;;;;4-6,;
UK*;Lielbritānija;1,4*;;17*,25,28;;2.3;;12*;1*,29;;;30*;25,26,27
LT;Lietuva;1;16;11,27,28;;1;24;6;15;;;1;24,25,26
LI;Lihtenšteina;1.6;2;19.28;;1,5,16,26;;;15;8;;1;8,25,26
L*;Luksemburga;1;;28;;1,5,16;23*;;15;;;1;25,26*
MK;Maķedonija;1.7;;;;1,2,24;;7;2;8;11,23,24;;8
MA;Maroka;1.11;;;;1;7;7.3;14,20,21;13;3;6.18;12
ME;Melnkalne;1,2,6,7,8;;;29;1,2,21,22,23;;13.14;;;;;
MD;Moldova;1,7,8;;8;;1,2,9;;;27,29,31;;;;25
NL;Nīderlande;1;;25,27,28;27;5,15,16;;;;;;;25.26
N;Norvēģija;1;;20,24,25,27;;1,5,15,16,17;;;;;;;25.26
PL*;Polija;1,6*;;27.28;;1,3,15,26;;;15;;;1.11;25.26
P;Portugāle;1;;25.27;25;1;10;;15;;;;8.25
RO;Rumānija;1.2;;;;1.2;19.2;;15;;;30;1,25,26
SK;Slovākija;1.6;;25.28;;1.8;;5;29;1.15;;1.17;24,25,26
SLO;Slovēnija;1;8;28;27;1.2;25;;15;;31;1;25.26
FIN;Somija;1.6;;25,27,28;;1,5,15;25;;;;;5;6,24,25,26
E*;Spānija;1.6;29*;19*,24*,28;4.23;2.3;4,24,25;;15;8,11,15,25;9.12;1;8,25,26
CH;Šveice;1;;25.28;;5.16;;;1;;;;25.26
TJ*;Tadžikistāna;1;;8,21-24*;;1.9;27;6*;;9,12*;;6;
TR*;Turcija;1;;;23;1.19;;4*,5-7*, 8*;30;11*, 12 -15*, 16*;28, 29;;
TM*;Turkmenistāna;1;19;8,21,22;;9.18;;;;;6,27,28;;12
UA;Ukraina;1.7;;7.8;;1,2,9;19.28;;24;;14;;
H;Ungārija;1;;15,27,28;;1,15,16;;;20;;23;1;25.26
UZ*;Uzbekistāna;1.14;;8.21;;9;;18;;1;1;;8
D*;Vācija;1;;25,27,28;;1,5,16,26;;;;;3.31;1;25.26
S;Zviedrija;1.6;;25 - 28,;;1,5,14,15;6,24,25;;;;;5;24,25,26,31
